Timestamps,Device,Message,Data
0.0,BMS,BMS_TEMPERATURE,600.0
0.01,BMS,BMS_TEMPERATURE,599.9833327777593
0.02,BMS,BMS_TEMPERATURE,599.9666655555185
0.03,BMS,BMS_TEMPERATURE,599.9499983332778
0.04,BMS,BMS_TEMPERATURE,599.933331111037
0.05,BMS,BMS_TEMPERATURE,599.9166638887963
0.06,BMS,BMS_TEMPERATURE,599.8999966665556
0.07,BMS,BMS_TEMPERATURE,599.8833294443148
0.08,BMS,BMS_TEMPERATURE,599.8666622220741
0.09,BMS,BMS_TEMPERATURE,599.8499949998334
0.1,BMS,BMS_TEMPERATURE,599.8333277775926
0.11,BMS,BMS_TEMPERATURE,599.8166605553519
0.12,BMS,BMS_TEMPERATURE,599.799993333111
0.13,BMS,BMS_TEMPERATURE,599.7833261108703
0.14,BMS,BMS_TEMPERATURE,599.7666588886296
0.15,BMS,BMS_TEMPERATURE,599.7499916663888
0.16,BMS,BMS_TEMPERATURE,599.7333244441481
0.17,BMS,BMS_TEMPERATURE,599.7166572219074
0.18,BMS,BMS_TEMPERATURE,599.6999899996666
0.19,BMS,BMS_TEMPERATURE,599.6833227774259
0.2,BMS,BMS_TEMPERATURE,599.6666555551851
0.21,BMS,BMS_TEMPERATURE,599.6499883329444
0.22,BMS,BMS_TEMPERATURE,599.6333211107037
0.23,BMS,BMS_TEMPERATURE,599.6166538884629
0.24,BMS,BMS_TEMPERATURE,599.5999866662222
0.25,BMS,BMS_TEMPERATURE,599.5833194439815
0.26,BMS,BMS_TEMPERATURE,599.5666522217407
0.27,BMS,BMS_TEMPERATURE,599.5499849995
0.28,BMS,BMS_TEMPERATURE,599.5333177772592
0.29,BMS,BMS_TEMPERATURE,599.5166505550185
0.3,BMS,BMS_TEMPERATURE,599.4999833327778
0.31,BMS,BMS_TEMPERATURE,599.483316110537
0.32,BMS,BMS_TEMPERATURE,599.4666488882963
0.33,BMS,BMS_TEMPERATURE,599.4499816660556
0.34,BMS,BMS_TEMPERATURE,599.4333144438148
0.35,BMS,BMS_TEMPERATURE,599.4166472215741
0.36,BMS,BMS_TEMPERATURE,599.3999799993333
0.37,BMS,BMS_TEMPERATURE,599.3833127770926
0.38,BMS,BMS_TEMPERATURE,599.3666455548519
0.39,BMS,BMS_TEMPERATURE,599.349978332611
0.4,BMS,BMS_TEMPERATURE,599.3333111103703
0.41,BMS,BMS_TEMPERATURE,599.3166438881296
0.42,BMS,BMS_TEMPERATURE,599.2999766658888
0.43,BMS,BMS_TEMPERATURE,599.2833094436481
0.44,BMS,BMS_TEMPERATURE,599.2666422214073
0.45,BMS,BMS_TEMPERATURE,599.2499749991666
0.46,BMS,BMS_TEMPERATURE,599.2333077769259
0.47,BMS,BMS_TEMPERATURE,599.2166405546851
0.48,BMS,BMS_TEMPERATURE,599.1999733324444
0.49,BMS,BMS_TEMPERATURE,599.1833061102037
0.5,BMS,BMS_TEMPERATURE,599.1666388879629
0.51,BMS,BMS_TEMPERATURE,599.1499716657222
0.52,BMS,BMS_TEMPERATURE,599.1333044434814
0.53,BMS,BMS_TEMPERATURE,599.1166372212407
0.54,BMS,BMS_TEMPERATURE,599.099969999
0.55,BMS,BMS_TEMPERATURE,599.0833027767592
0.56,BMS,BMS_TEMPERATURE,599.0666355545185
0.5700000000000001,BMS,BMS_TEMPERATURE,599.0499683322778
0.58,BMS,BMS_TEMPERATURE,599.033301110037
0.59,BMS,BMS_TEMPERATURE,599.0166338877963
0.6,BMS,BMS_TEMPERATURE,598.9999666655555
0.61,BMS,BMS_TEMPERATURE,598.9832994433148
0.62,BMS,BMS_TEMPERATURE,598.9666322210741
0.63,BMS,BMS_TEMPERATURE,598.9499649988333
0.64,BMS,BMS_TEMPERATURE,598.9332977765926
0.65,BMS,BMS_TEMPERATURE,598.9166305543519
0.66,BMS,BMS_TEMPERATURE,598.899963332111
0.67,BMS,BMS_TEMPERATURE,598.8832961098703
0.68,BMS,BMS_TEMPERATURE,598.8666288876295
0.6900000000000001,BMS,BMS_TEMPERATURE,598.8499616653888
0.7000000000000001,BMS,BMS_TEMPERATURE,598.8332944431481
0.71,BMS,BMS_TEMPERATURE,598.8166272209073
0.72,BMS,BMS_TEMPERATURE,598.7999599986666
0.73,BMS,BMS_TEMPERATURE,598.7832927764259
0.74,BMS,BMS_TEMPERATURE,598.7666255541851
0.75,BMS,BMS_TEMPERATURE,598.7499583319444
0.76,BMS,BMS_TEMPERATURE,598.7332911097036
0.77,BMS,BMS_TEMPERATURE,598.7166238874629
0.78,BMS,BMS_TEMPERATURE,598.6999566652222
0.79,BMS,BMS_TEMPERATURE,598.6832894429814
0.8,BMS,BMS_TEMPERATURE,598.6666222207407
0.81,BMS,BMS_TEMPERATURE,598.6499549985
0.8200000000000001,BMS,BMS_TEMPERATURE,598.6332877762592
0.8300000000000001,BMS,BMS_TEMPERATURE,598.6166205540185
0.84,BMS,BMS_TEMPERATURE,598.5999533317777
0.85,BMS,BMS_TEMPERATURE,598.583286109537
0.86,BMS,BMS_TEMPERATURE,598.5666188872963
0.87,BMS,BMS_TEMPERATURE,598.5499516650555
0.88,BMS,BMS_TEMPERATURE,598.5332844428148
0.89,BMS,BMS_TEMPERATURE,598.5166172205741
0.9,BMS,BMS_TEMPERATURE,598.4999499983332
0.91,BMS,BMS_TEMPERATURE,598.4832827760926
0.92,BMS,BMS_TEMPERATURE,598.4666155538517
0.93,BMS,BMS_TEMPERATURE,598.449948331611
0.94,BMS,BMS_TEMPERATURE,598.4332811093703
0.95,BMS,BMS_TEMPERATURE,598.4166138871295
0.96,BMS,BMS_TEMPERATURE,598.3999466648888
0.97,BMS,BMS_TEMPERATURE,598.3832794426481
0.98,BMS,BMS_TEMPERATURE,598.3666122204073
0.99,BMS,BMS_TEMPERATURE,598.3499449981666
1.0,BMS,BMS_TEMPERATURE,598.3332777759258
1.01,BMS,BMS_TEMPERATURE,598.3166105536851
1.02,BMS,BMS_TEMPERATURE,598.2999433314444
1.03,BMS,BMS_TEMPERATURE,598.2832761092036
1.04,BMS,BMS_TEMPERATURE,598.2666088869629
1.05,BMS,BMS_TEMPERATURE,598.2499416647222
1.06,BMS,BMS_TEMPERATURE,598.2332744424814
1.07,BMS,BMS_TEMPERATURE,598.2166072202407
1.08,BMS,BMS_TEMPERATURE,598.1999399979999
